h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,al,CEID-Walk,2020-08-09,2020-08-15,76.878,87.674,89.63,104.019,116.792,126.582,129.963,132.995,138.045,141.459,149.256,157.679,161.567,163.353,167.239,172.161,176.125,184.27,189.761,197.579,203.255,213.813,239.581,141.0
2,al,CEID-Walk,2020-08-09,2020-08-22,34.174,60.79,80.799,92.201,116.166,124.437,126.524,130.855,133.619,143.237,149.311,157.195,161.086,167.935,176.612,186.285,189.558,195.861,210.194,220.211,237.89,250.122,286.762,115.0
3,al,CEID-Walk,2020-08-09,2020-08-29,2.127,18.841,41.76,75.344,99.342,113.199,121.185,126.463,130.132,139.57,143.732,155.715,160.421,167.052,181.787,193.734,205.941,212.535,228.171,243.424,254.546,273.282,299.352,141.0
4,al,CEID-Walk,2020-08-09,2020-09-05,0.559,7.9,35.511,63.512,77.266,86.457,109.508,119.387,131.268,145.084,149.49,162.594,172.807,184.042,189.947,207.178,217.511,241.843,248.201,261.921,271.821,303.092,340.371,123.0
1,ak,CEID-Walk,2020-08-09,2020-08-15,0.0,0.0,0.0,0.32,0.615,1.05,1.182,1.314,1.469,1.687,1.765,2.029,2.235,2.506,2.88,3.204,3.524,3.77,4.061,4.431,5.115,5.938,7.063,2.0
2,ak,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,0.0,0.0,0.0,0.055,0.304,0.724,1.071,1.288,1.682,2.046,2.337,2.851,3.226,3.453,4.091,4.374,5.04,5.423,6.658,7.368,7.929,3.0
3,ak,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.541,0.836,1.359,1.593,1.864,2.392,2.668,3.047,3.553,3.874,4.208,4.688,5.971,6.927,7.279,7.49,6.0
4,ak,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.342,0.862,1.107,1.614,2.079,2.688,3.037,3.251,3.805,4.17,4.536,5.532,6.128,7.191,8.108,9.33,5.0
1,az,CEID-Walk,2020-08-09,2020-08-15,65.697,110.348,149.958,233.907,255.916,270.422,282.525,316.89,325.36,353.164,384.418,406.233,412.929,421.72,433.582,443.116,457.596,495.544,528.521,602.276,627.707,667.071,795.848,355.0
2,az,CEID-Walk,2020-08-09,2020-08-22,0.0,0.0,58.62,115.561,162.001,225.012,282.088,307.989,329.986,357.838,380.935,390.199,413.693,434.43,455.402,490.108,526.32,580.552,628.434,682.089,724.309,791.262,817.453,264.0
3,az,CEID-Walk,2020-08-09,2020-08-29,0.0,0.0,0.0,67.686,142.277,199.008,214.193,252.052,290.093,319.858,345.345,382.78,425.257,463.252,543.928,583.658,614.517,625.53,669.639,723.566,788.281,1016.773,1074.519,251.0
4,az,CEID-Walk,2020-08-09,2020-09-05,0.0,0.0,0.0,56.584,100.443,178.536,203.397,248.284,270.768,316.238,350.139,405.272,443.223,494.673,532.176,589.841,628.201,743.157,772.674,855.234,934.605,993.095,1060.409,200.0
1,ar,CEID-Walk,2020-08-09,2020-08-15,59.698,60.559,61.88,66.482,69.185,71.116,71.74,72.17,73.785,75.084,76.344,77.445,78.207,78.974,79.716,81.055,82.9,84.204,86.618,89.196,90.262,91.699,94.671,65.0
2,ar,CEID-Walk,2020-08-09,2020-08-22,53.186,57.535,59.073,62.155,66.204,68.381,69.25,71.013,72.775,74.477,75.801,76.863,78.041,80.087,81.776,84.245,85.73,86.472,89.742,91.307,95.977,97.859,101.212,74.0
3,ar,CEID-Walk,2020-08-09,2020-08-29,42.192,48.624,56.472,60.004,62.718,66.51,69.255,70.228,72.415,73.485,74.335,76.594,78.364,79.77,82.019,83.191,84.574,87.046,88.689,90.933,93.644,97.819,102.911,98.0
4,ar,CEID-Walk,2020-08-09,2020-09-05,34.64,47.103,51.277,53.055,58.02,62.316,65.623,68.123,70.781,72.902,74.656,76.405,78.225,80.134,82.013,82.838,87.317,89.345,93.087,97.31,100.52,103.09,108.232,110.0
