h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,al,JHU_CSSE-DECOM,2020-10-05,2020-10-10,21.5,22.14286,26.71428,32.85714,35.92857,38.71428,42.85714,48.33333,49.42857,54.14286,56.57143,59.38095,62.33333,65.85714,67.5,72.71429,73.51429,74.27619,75.91925,79.71428,88.12245,124.8333,164.7143,106.0
1,ak,JHU_CSSE-DECOM,2020-10-05,2020-10-10,1.714286,2.428571,3.0,3.428571,4.285714,5.809524,6.102041,6.392857,7.155844,7.857143,8.714286,9.295399,9.714286,9.950739,10.14286,12.0,13.78571,15.09226,19.75824,20.85714,21.26531,24.05714,28.57143,2.0
1,az,JHU_CSSE-DECOM,2020-10-05,2020-10-10,48.0,54.7619,58.18182,63.14286,68.97143,72.86805,74.71184,76.57143,79.28572,80.45536,81.52857,84.85714,87.87755,89.71429,92.85714,98.19048,100.4524,106.3247,113.5357,127.2143,138.4821,144.8857,151.1429,54.0
1,ar,JHU_CSSE-DECOM,2020-10-05,2020-10-10,44.57143,51.57143,56.82857,60.92857,71.30357,79.75,80.45813,81.47619,86.25714,91.46429,93.10714,95.32143,99.28571,101.6429,104.9964,109.1786,120.1429,127.4286,138.8571,155.2467,173.1429,184.4286,258.4762,145.0
1,ca,JHU_CSSE-DECOM,2020-10-05,2020-10-10,304.7143,309.4821,327.7143,352.5536,356.7798,369.1429,389.5714,428.5055,430.1364,434.7143,435.2619,436.5429,439.2857,440.1648,443.2857,458.9388,461.8929,482.8214,512.4857,549.3766,560.4286,593.2381,693.2857,452.0
1,co,JHU_CSSE-DECOM,2020-10-05,2020-10-10,8.935065,12.51948,14.12987,19.57143,21.76623,22.68571,23.61688,24.57143,25.60714,25.85714,26.16327,26.63636,27.93407,33.19048,33.57143,36.18367,36.83929,37.28571,37.46429,43.14286,53.9916,63.7395,64.71429,43.0
1,ct,JHU_CSSE-DECOM,2020-10-05,2020-10-10,0.1428572,0.5,1.142857,1.571429,2.571429,3.839286,4.571429,5.795918,6.714286,7.357143,8.785714,9.285714,9.367347,10.66667,11.71429,15.16149,16.8,19.57143,20.94585,21.28247,21.42857,28.11429,29.54286,17.0
1,de,JHU_CSSE-DECOM,2020-10-05,2020-10-10,14.28571,15.85714,15.93878,16.32919,16.77143,17.78571,19.53571,21.71428,22.36735,24.5126,25.07143,25.53571,26.90476,27.88095,28.0,28.0,30.38095,33.4,36.57143,42.85714,48.3125,54.94643,61.34286,11.0
1,fl,JHU_CSSE-DECOM,2020-10-05,2020-10-10,304.7143,314.5714,330.7563,363.3036,416.8947,428.7959,435.0191,439.2857,462.5,464.1429,488.5934,506.1786,511.4571,525.2857,552.4286,564.1428,571.2667,581.4714,603.8571,654.7714,706.1428,787.0089,816.1786,558.0
1,ga,JHU_CSSE-DECOM,2020-10-05,2020-10-10,116.2143,132.3571,141.4762,145.5918,150.5714,154.7857,159.3333,169.0,170.8929,176.4286,182.5,187.0317,191.4545,198.3929,202.0317,205.1143,206.6327,221.25,230.0,237.619,248.5714,271.6191,317.8571,260.0
