h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,us,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,6084.5,6085.0,6126.0,6208.0,6290.0,6372.0,6454.0,6535.0,6617.0,6699.0,6781.0,6863.0,6952.0,7042.0,7131.0,7221.0,7310.0,7400.0,7489.0,7579.0,7668.0,7713.0,7713.5,6290.0
2,us,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,4942.5,4943.0,4976.0,5043.0,5109.0,5176.0,5242.0,5309.0,5375.0,5442.0,5508.0,5575.0,5648.0,5720.0,5793.0,5866.0,5938.0,6011.0,6083.0,6156.0,6229.0,6265.0,6265.5,5823.0
3,us,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,4974.5,4975.0,5040.0,5171.0,5302.0,5433.0,5564.0,5695.0,5826.0,5957.0,6088.0,6219.0,6448.0,6677.0,6906.0,7136.0,7365.0,7594.0,7823.0,8052.0,8281.0,8396.0,8396.5,5118.0
4,us,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,4974.5,4975.0,5040.0,5171.0,5302.0,5433.0,5564.0,5695.0,5826.0,5957.0,6088.0,6219.0,6448.0,6677.0,6906.0,7136.0,7365.0,7594.0,7823.0,8052.0,8281.0,8396.0,8396.5,5400.0
1,al,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,93.5,94.0,97.0,103.0,109.0,115.0,121.0,127.0,133.0,139.0,145.0,151.0,152.0,152.0,153.0,154.0,154.0,155.0,155.0,156.0,157.0,157.0,157.5,141.0
2,al,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,71.1,72.0,74.0,78.0,83.0,87.0,92.0,96.0,101.0,105.0,110.0,114.0,114.0,115.0,116.0,116.0,117.0,117.0,118.0,118.0,119.0,119.0,119.5,123.0
3,al,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,77.5,78.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,126.0,126.0,127.0,127.0,128.0,128.0,129.0,129.0,130.0,130.0,130.5,75.0
4,al,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,77.5,78.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,126.0,126.0,127.0,127.0,128.0,128.0,129.0,129.0,130.0,130.0,130.5,87.0
1,ak,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,1.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.5,6.0
2,ak,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,1.5,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.8,5.0
3,ak,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,1.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.5,2.0
4,ak,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,1.5,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.5,1.0
1,az,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,205.5,206.0,213.0,226.0,239.0,252.0,265.0,278.0,291.0,304.0,317.0,330.0,331.0,333.0,334.0,336.0,337.0,339.0,340.0,342.0,343.0,344.0,344.5,251.0
2,az,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,164.9,165.0,171.0,181.0,191.0,202.0,212.0,223.0,233.0,243.0,254.0,264.0,265.0,267.0,268.0,269.0,270.0,271.0,272.0,273.0,274.0,275.0,275.5,200.0
3,az,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,174.5,175.0,181.0,192.0,203.0,214.0,225.0,236.0,248.0,259.0,270.0,281.0,282.0,283.0,284.0,286.0,287.0,288.0,289.0,290.0,291.0,292.0,292.5,108.0
4,az,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,174.5,175.0,181.0,192.0,203.0,214.0,225.0,236.0,248.0,259.0,270.0,281.0,282.0,283.0,284.0,286.0,287.0,288.0,289.0,290.0,291.0,292.0,292.5,152.0
1,ar,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,43.5,44.0,45.0,48.0,51.0,54.0,57.0,60.0,62.0,65.0,68.0,71.0,71.0,72.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,74.0,74.5,98.0
2,ar,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,47.3,48.0,49.0,52.0,55.0,58.0,61.0,64.0,67.0,70.0,73.0,76.0,76.0,77.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,79.0,79.5,110.0
3,ar,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,40.5,41.0,42.0,45.0,48.0,50.0,53.0,55.0,58.0,61.0,63.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.5,87.0
4,ar,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,40.5,41.0,42.0,45.0,48.0,50.0,53.0,55.0,58.0,61.0,63.0,66.0,66.0,67.0,67.0,67.0,68.0,68.0,68.0,69.0,69.0,69.0,69.5,212.0
1,ca,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,659.5,660.0,683.0,729.0,776.0,822.0,868.0,914.0,960.0,1007.0,1053.0,1099.0,1128.0,1157.0,1186.0,1216.0,1245.0,1274.0,1303.0,1332.0,1361.0,1376.0,1376.5,808.0
2,ca,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,418.9,419.0,434.0,464.0,493.0,523.0,552.0,582.0,611.0,641.0,670.0,700.0,719.0,737.0,756.0,774.0,793.0,811.0,830.0,848.0,867.0,876.0,876.5,812.0
3,ca,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,493.5,494.0,511.0,546.0,581.0,616.0,650.0,685.0,720.0,755.0,789.0,824.0,846.0,868.0,889.0,911.0,933.0,955.0,977.0,998.0,1020.0,1031.0,1031.5,640.0
4,ca,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,493.5,494.0,511.0,546.0,581.0,616.0,650.0,685.0,720.0,755.0,789.0,824.0,846.0,868.0,889.0,911.0,933.0,955.0,977.0,998.0,1020.0,1031.0,1031.5,655.0
1,co,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,26.5,27.0,28.0,30.0,32.0,34.0,36.0,37.0,39.0,41.0,43.0,45.0,47.0,48.0,50.0,51.0,53.0,54.0,56.0,58.0,59.0,60.0,60.5,36.0
2,co,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,19.9,20.0,21.0,23.0,24.0,25.0,27.0,28.0,30.0,31.0,33.0,34.0,35.0,37.0,38.0,39.0,41.0,42.0,44.0,45.0,46.0,47.0,47.5,24.0
3,co,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,23.5,24.0,25.0,27.0,28.0,30.0,32.0,33.0,35.0,37.0,38.0,40.0,41.0,43.0,44.0,46.0,47.0,49.0,50.0,52.0,53.0,54.0,54.5,28.0
4,co,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,23.5,24.0,25.0,27.0,28.0,30.0,32.0,33.0,35.0,37.0,38.0,40.0,41.0,43.0,44.0,46.0,47.0,49.0,50.0,52.0,53.0,54.0,54.5,27.0
1,ct,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,3.5,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,11.0,12.0,12.0,13.0,14.0,14.0,14.5,5.0
2,ct,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,3.5,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,16.0,16.3,3.0
3,ct,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,3.5,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,15.5,12.0
4,ct,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,3.5,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,11.0,12.0,12.0,13.0,14.0,15.0,15.0,15.5,12.0
1,de,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,3.5,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,13.5,2.0
2,de,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,1.5,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.5,8.0
3,de,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,2.5,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.5,7.0
4,de,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,2.5,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.5,5.0
1,dc,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,3.5,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,11.5,1.0
2,dc,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,2.5,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,6.0
3,dc,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,3.5,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.5,5.0
4,dc,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,3.5,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,10.5,3.0
1,fl,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,790.5,791.0,816.0,866.0,916.0,966.0,1016.0,1065.0,1115.0,1165.0,1215.0,1265.0,1271.0,1276.0,1282.0,1287.0,1293.0,1298.0,1304.0,1310.0,1315.0,1318.0,1318.5,831.0
2,fl,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,512.3,513.0,529.0,561.0,594.0,626.0,659.0,691.0,724.0,756.0,789.0,821.0,825.0,828.0,832.0,835.0,839.0,843.0,846.0,850.0,853.0,855.0,855.5,706.0
3,fl,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,575.5,576.0,594.0,630.0,667.0,703.0,739.0,776.0,812.0,848.0,885.0,921.0,925.0,929.0,933.0,937.0,941.0,945.0,949.0,953.0,957.0,959.0,959.5,789.0
4,fl,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,575.5,576.0,594.0,630.0,667.0,703.0,739.0,776.0,812.0,848.0,885.0,921.0,925.0,929.0,933.0,937.0,941.0,945.0,949.0,953.0,957.0,959.0,959.5,687.0
1,ga,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,304.5,305.0,315.0,334.0,353.0,372.0,391.0,410.0,430.0,449.0,468.0,487.0,489.0,491.0,494.0,496.0,498.0,500.0,502.0,505.0,507.0,508.0,508.5,484.0
2,ga,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,238.1,239.0,246.0,261.0,277.0,292.0,307.0,322.0,337.0,352.0,368.0,383.0,384.0,386.0,388.0,389.0,391.0,392.0,394.0,396.0,397.0,398.0,398.5,401.0
3,ga,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,244.5,245.0,253.0,268.0,283.0,299.0,314.0,330.0,345.0,360.0,376.0,391.0,393.0,395.0,396.0,398.0,400.0,402.0,404.0,405.0,407.0,408.0,408.5,310.0
4,ga,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,244.5,245.0,253.0,268.0,283.0,299.0,314.0,330.0,345.0,360.0,376.0,391.0,393.0,395.0,396.0,398.0,400.0,402.0,404.0,405.0,407.0,408.0,408.5,312.0
1,hi,SteveMcConnell-CovidComplete,2020-08-24,2020-08-29,1.5,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,9.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,18.5,15.0
2,hi,SteveMcConnell-CovidComplete,2020-08-24,2020-09-05,2.5,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,12.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,20.3,22.0
3,hi,SteveMcConnell-CovidComplete,2020-08-24,2020-09-12,2.5,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,19.5,13.0
4,hi,SteveMcConnell-CovidComplete,2020-08-24,2020-09-19,2.5,3.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,19.5,23.0
