h,geo_value,forecaster,forecast_date,target_date,forecast_0.01,forecast_0.025,forecast_0.05,forecast_0.1,forecast_0.15,forecast_0.2,forecast_0.25,forecast_0.3,forecast_0.35,forecast_0.4,forecast_0.45,forecast_0.5,forecast_0.55,forecast_0.6,forecast_0.65,forecast_0.7,forecast_0.75,forecast_0.8,forecast_0.85,forecast_0.9,forecast_0.95,forecast_0.975,forecast_0.99,deaths
1,us,UMich-RidgeTfReg,2020-07-06,2020-07-11,423.0234,924.3125,1339.297,1670.766,1837.609,1990.062,2145.172,2267.359,2438.828,2550.734,2671.438,2831.344,3017.094,3204.953,3320.875,3514.406,3580.547,3705.609,3845.391,4260.422,4544.625,4720.359,4887.0,5295.0
2,us,UMich-RidgeTfReg,2020-07-06,2020-07-18,0.0,207.7512,617.6262,930.0325,1083.564,1234.126,1383.892,1508.157,1690.329,1814.486,1951.532,2124.392,2325.501,2518.126,2635.407,2832.329,2888.079,3002.173,3129.673,3555.079,3832.329,4006.376,4161.954,5567.0
3,us,UMich-RidgeTfReg,2020-07-06,2020-07-25,0.0,0.0,0.0,201.2354,320.9073,460.2823,595.0948,712.6573,896.3604,1021.72,1169.954,1346.142,1553.017,1749.251,1867.673,2058.845,2092.876,2196.548,2308.767,2748.204,3024.501,3205.673,3360.61,6461.0
4,us,UMich-RidgeTfReg,2020-07-06,2020-08-01,0.0,0.0,0.0,0.0698872,85.89801,214.0699,333.9136,444.8355,630.0386,756.5699,916.023,1095.523,1308.164,1507.992,1627.554,1813.039,1825.32,1918.57,2015.492,2468.945,2744.304,2932.617,3086.914,7895.0
1,us,UMich-RidgeTfReg,2020-07-12,2020-07-18,0.0,0.0,1325.203,2520.5,2878.453,3021.406,3233.641,3380.969,3495.062,3509.359,3681.875,3820.969,3943.328,4105.672,4256.953,4488.984,4690.5,4811.594,5050.094,5237.797,5881.359,5935.75,6525.625,5567.0
2,us,UMich-RidgeTfReg,2020-07-12,2020-07-25,0.0,0.0,1387.416,2642.275,3009.494,3164.978,3377.994,3546.244,3670.369,3697.525,3875.619,4014.056,4127.51,4289.369,4444.713,4652.713,4845.494,4951.728,5202.963,5425.931,6177.056,6307.213,6965.885,6461.0
3,us,UMich-RidgeTfReg,2020-07-12,2020-08-01,0.0,0.0,613.7318,1789.576,2197.185,2374.091,2591.482,2790.576,2942.951,3006.357,3211.904,3370.404,3507.81,3683.966,3833.013,4021.482,4239.451,4378.997,4649.013,4895.607,5698.216,5849.529,6478.763,7895.0
4,us,UMich-RidgeTfReg,2020-07-12,2020-08-08,0.0,0.0,500.396,1443.755,1812.834,1953.74,2139.255,2321.427,2465.334,2498.068,2671.271,2839.302,2989.24,3166.537,3326.912,3521.787,3758.943,3924.162,4245.287,4574.271,5492.255,5730.084,6397.099,7264.0
1,al,UMich-RidgeTfReg,2020-07-20,2020-07-25,35.19135,37.28056,42.35571,55.43826,65.73475,67.96753,76.01587,97.30714,105.6104,113.2142,126.4939,134.0483,135.1781,137.5139,139.7565,140.1113,140.4222,140.7858,140.9132,140.9332,140.9669,140.9808,140.9866,170.0
2,al,UMich-RidgeTfReg,2020-07-20,2020-08-01,26.77838,30.30421,38.82655,60.15876,74.03187,76.43065,84.31273,106.322,115.6577,125.3166,143.3393,154.3449,156.0786,159.7931,163.4273,163.9921,164.4623,164.9732,165.1324,165.1552,165.1919,165.2066,165.2126,147.0
3,al,UMich-RidgeTfReg,2020-07-20,2020-08-08,0.0,0.0,8.499502,41.14346,62.3854,66.02858,77.58414,106.7486,118.5452,130.4383,152.6088,166.2368,168.4329,173.2553,178.0782,178.829,179.4445,180.0939,180.2854,180.3115,180.3524,180.3683,180.3747,152.0
4,al,UMich-RidgeTfReg,2020-07-20,2020-08-15,0.0,0.0,0.0,27.78699,56.20577,60.8394,75.12449,110.8667,125.3534,139.9366,166.9499,183.2044,185.7601,191.2795,196.7238,197.5654,198.2467,198.945,199.1379,199.1624,199.1992,199.213,199.2183,141.0
1,az,UMich-RidgeTfReg,2020-07-20,2020-07-25,0.0,0.0,0.0,30.82074,168.908,185.4824,220.6834,274.6519,295.38,323.0653,403.4892,492.5812,510.8677,552.532,595.2133,602.6308,610.7415,624.8651,633.6151,635.7216,640.0846,642.2213,643.2322,556.0
2,az,UMich-RidgeTfReg,2020-07-20,2020-08-01,0.0,0.0,0.0,0.0,232.6103,262.6614,324.1461,403.9045,431.2328,467.1781,588.7797,762.3599,803.3821,902.459,1010.047,1029.895,1053.376,1096.104,1122.016,1127.861,1139.417,1144.858,1147.353,461.0
3,az,UMich-RidgeTfReg,2020-07-20,2020-08-08,0.0,0.0,0.0,0.0,63.96798,113.6889,216.1333,349.2066,394.167,450.5134,634.9585,911.8808,982.2498,1159.76,1361.846,1400.965,1450.475,1548.03,1611.852,1626.975,1657.658,1672.41,1679.285,390.0
4,az,UMich-RidgeTfReg,2020-07-20,2020-08-15,0.0,0.0,0.0,0.0,0.0,0.0,84.24985,277.9042,341.9505,421.7041,686.8644,1100.04,1209.598,1495.119,1832.599,1900.065,1988.581,2167.41,2284.874,2312.3,2367.201,2393.27,2405.294,355.0
